order_id,datetime,dish_ids,dish_names,prep_times,quantities,total_time
157,2025-05-31 23:42,"[3, 20, 8]","['Caesar salad', 'Lemon Iced Tea', 'Almond chicken strips with lemon sauce']","[30, 1, 25]","[2, 3, 3]",39
158,2025-06-08 23:42,"[20, 7, 10, 3, 16]","['Lemon Iced Tea', 'Beef steaks with strawberry sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Caesar salad', 'Fresh Fruit Dessert']","[1, 30, 30, 30, 15]","[1, 2, 3, 1, 1]",33
159,2025-05-16 23:42,"[5, 22, 17, 7, 24]","['Warm Salad with Baby Eels and King Prawns', 'Fanta Orange', 'Catalan Cream', 'Beef steaks with strawberry sauce', 'Coffee with Milk']","[20, 1, 40, 30, 5]","[3, 3, 3, 3, 3]",48
160,2025-05-26 23:42,"[22, 16, 5]","['Fanta Orange', 'Fresh Fruit Dessert', 'Warm Salad with Baby Eels and King Prawns']","[1, 15, 20]","[1, 2, 3]",25
161,2025-05-14 23:42,"[11, 17, 6]","['Sautéed spanish Sausage and Mushrooms', 'Catalan Cream', 'Seafood Soup']","[30, 40, 55]","[3, 3, 3]",62
162,2025-05-18 23:42,"[11, 2]","['Sautéed spanish Sausage and Mushrooms', 'Spaghetti carbonara']","[30, 25]","[2, 1]",36
163,2025-05-17 23:42,"[22, 5]","['Fanta Orange', 'Warm Salad with Baby Eels and King Prawns']","[1, 20]","[2, 1]",25
164,2025-06-08 23:42,"[3, 20, 18, 19, 12]","['Caesar salad', 'Lemon Iced Tea', 'Layered Banana Dessert', 'Sparkling Water', 'Mediterranean Lamb Burger']","[30, 1, 15, 1, 30]","[3, 3, 2, 2, 2]",36
165,2025-06-12 23:42,"[20, 23, 21]","['Lemon Iced Tea', 'Espresso', 'Coca-Cola']","[1, 5, 1]","[1, 2, 1]",9
166,2025-05-31 23:42,[13],['Chocolate Lava Cake'],[25],[1],31
167,2025-06-04 23:42,"[18, 23, 15, 16, 21]","['Layered Banana Dessert', 'Espresso', 'Chilled Raspberry Crumble', 'Fresh Fruit Dessert', 'Coca-Cola']","[15, 5, 25, 15, 1]","[2, 3, 3, 1, 1]",32
168,2025-05-26 23:42,"[2, 7]","['Spaghetti carbonara', 'Beef steaks with strawberry sauce']","[25, 30]","[2, 1]",39
169,2025-05-25 23:42,"[3, 15, 1, 22]","['Caesar salad', 'Chilled Raspberry Crumble', 'Risotto', 'Fanta Orange']","[30, 25, 30, 1]","[2, 2, 1, 2]",35
170,2025-05-13 23:42,"[22, 15, 3, 19]","['Fanta Orange', 'Chilled Raspberry Crumble', 'Caesar salad', 'Sparkling Water']","[1, 25, 30, 1]","[1, 1, 2, 3]",33
171,2025-05-16 23:42,"[9, 18, 4, 6]","['Meatballs in Spanish Sauce', 'Layered Banana Dessert', 'Macaroni with Tomato and Chorizo', 'Seafood Soup']","[30, 15, 25, 55]","[2, 3, 3, 3]",59
172,2025-05-26 23:42,"[17, 6, 5]","['Catalan Cream', 'Seafood Soup', 'Warm Salad with Baby Eels and King Prawns']","[40, 55, 20]","[2, 2, 3]",62
173,2025-05-19 23:42,"[14, 12, 22]","['Lemon Sorbet with Cava', 'Mediterranean Lamb Burger', 'Fanta Orange']","[5, 30, 1]","[2, 2, 1]",34
174,2025-05-31 23:42,"[5, 20]","['Warm Salad with Baby Eels and King Prawns', 'Lemon Iced Tea']","[20, 1]","[2, 3]",30
175,2025-06-08 23:42,"[22, 23, 8, 9]","['Fanta Orange', 'Espresso', 'Almond chicken strips with lemon sauce', 'Meatballs in Spanish Sauce']","[1, 5, 25, 30]","[2, 3, 1, 1]",33
176,2025-05-13 23:42,"[2, 1, 11, 13]","['Spaghetti carbonara', 'Risotto', 'Sautéed spanish Sausage and Mushrooms', 'Chocolate Lava Cake']","[25, 30, 30, 25]","[1, 2, 2, 1]",35
177,2025-05-30 23:42,"[3, 10, 17]","['Caesar salad', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Catalan Cream']","[30, 30, 40]","[3, 2, 3]",43
178,2025-05-23 23:42,"[6, 8, 3, 17, 14]","['Seafood Soup', 'Almond chicken strips with lemon sauce', 'Caesar salad', 'Catalan Cream', 'Lemon Sorbet with Cava']","[55, 25, 30, 40, 5]","[3, 1, 2, 2, 1]",62
179,2025-05-13 23:42,"[2, 14, 10, 3]","['Spaghetti carbonara', 'Lemon Sorbet with Cava', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Caesar salad']","[25, 5, 30, 30]","[2, 3, 3, 2]",33
180,2025-05-24 23:42,"[18, 22]","['Layered Banana Dessert', 'Fanta Orange']","[15, 1]","[1, 1]",18
181,2025-05-22 23:42,"[19, 12, 24, 13]","['Sparkling Water', 'Mediterranean Lamb Burger', 'Coffee with Milk', 'Chocolate Lava Cake']","[1, 30, 5, 25]","[1, 3, 1, 1]",37
182,2025-06-02 23:42,"[18, 15, 8, 2, 16]","['Layered Banana Dessert', 'Chilled Raspberry Crumble', 'Almond chicken strips with lemon sauce', 'Spaghetti carbonara', 'Fresh Fruit Dessert']","[15, 25, 25, 25, 15]","[3, 2, 2, 1, 3]",35
183,2025-06-12 23:42,"[13, 3]","['Chocolate Lava Cake', 'Caesar salad']","[25, 30]","[3, 1]",35
184,2025-05-29 23:42,"[8, 16, 3]","['Almond chicken strips with lemon sauce', 'Fresh Fruit Dessert', 'Caesar salad']","[25, 15, 30]","[2, 1, 3]",36
185,2025-06-12 23:42,[19],['Sparkling Water'],[1],[3],10
186,2025-06-12 23:42,"[9, 1, 14, 7]","['Meatballs in Spanish Sauce', 'Risotto', 'Lemon Sorbet with Cava', 'Beef steaks with strawberry sauce']","[30, 30, 5, 30]","[2, 1, 1, 2]",35
187,2025-05-28 23:42,"[11, 3, 4, 10]","['Sautéed spanish Sausage and Mushrooms', 'Caesar salad', 'Macaroni with Tomato and Chorizo', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[30, 30, 25, 30]","[3, 1, 3, 3]",36
188,2025-06-10 23:42,"[4, 3, 5, 16, 15]","['Macaroni with Tomato and Chorizo', 'Caesar salad', 'Warm Salad with Baby Eels and King Prawns', 'Fresh Fruit Dessert', 'Chilled Raspberry Crumble']","[25, 30, 20, 15, 25]","[1, 1, 2, 2, 3]",39
189,2025-05-18 23:42,"[9, 18]","['Meatballs in Spanish Sauce', 'Layered Banana Dessert']","[30, 15]","[2, 3]",36
190,2025-06-07 23:42,[13],['Chocolate Lava Cake'],[25],[2],33
191,2025-05-22 23:42,[22],['Fanta Orange'],[1],[1],9
192,2025-06-07 23:42,[21],['Coca-Cola'],[1],[1],4
193,2025-06-10 23:42,[12],['Mediterranean Lamb Burger'],[30],[2],34
194,2025-06-05 23:42,"[7, 11, 19, 23, 12]","['Beef steaks with strawberry sauce', 'Sautéed spanish Sausage and Mushrooms', 'Sparkling Water', 'Espresso', 'Mediterranean Lamb Burger']","[30, 30, 1, 5, 30]","[1, 2, 3, 2, 2]",37
195,2025-05-16 23:42,"[21, 15, 20, 22, 6]","['Coca-Cola', 'Chilled Raspberry Crumble', 'Lemon Iced Tea', 'Fanta Orange', 'Seafood Soup']","[1, 25, 1, 1, 55]","[1, 1, 1, 2, 3]",58
196,2025-05-28 23:42,"[24, 18, 9]","['Coffee with Milk', 'Layered Banana Dessert', 'Meatballs in Spanish Sauce']","[5, 15, 30]","[2, 1, 3]",34
197,2025-05-30 23:42,"[15, 4]","['Chilled Raspberry Crumble', 'Macaroni with Tomato and Chorizo']","[25, 25]","[1, 1]",32
198,2025-06-03 23:42,"[15, 3]","['Chilled Raspberry Crumble', 'Caesar salad']","[25, 30]","[1, 3]",35
199,2025-06-01 23:42,"[5, 8, 10]","['Warm Salad with Baby Eels and King Prawns', 'Almond chicken strips with lemon sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[20, 25, 30]","[2, 1, 2]",33
200,2025-05-30 23:42,"[14, 10, 11]","['Lemon Sorbet with Cava', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Sautéed spanish Sausage and Mushrooms']","[5, 30, 30]","[3, 2, 3]",36
201,2025-05-15 23:42,"[11, 13, 19, 9]","['Sautéed spanish Sausage and Mushrooms', 'Chocolate Lava Cake', 'Sparkling Water', 'Meatballs in Spanish Sauce']","[30, 25, 1, 30]","[2, 3, 1, 3]",38
202,2025-05-23 23:42,"[14, 13]","['Lemon Sorbet with Cava', 'Chocolate Lava Cake']","[5, 25]","[3, 2]",35
203,2025-05-16 23:42,[3],['Caesar salad'],[30],[1],34
204,2025-06-07 23:42,"[2, 16, 10, 8]","['Spaghetti carbonara', 'Fresh Fruit Dessert', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Almond chicken strips with lemon sauce']","[25, 15, 30, 25]","[2, 2, 2, 3]",33
205,2025-05-28 23:42,"[6, 14, 4, 3]","['Seafood Soup', 'Lemon Sorbet with Cava', 'Macaroni with Tomato and Chorizo', 'Caesar salad']","[55, 5, 25, 30]","[3, 3, 2, 2]",63
206,2025-05-22 23:42,"[17, 4]","['Catalan Cream', 'Macaroni with Tomato and Chorizo']","[40, 25]","[3, 3]",49
207,2025-06-08 23:42,"[24, 12, 3]","['Coffee with Milk', 'Mediterranean Lamb Burger', 'Caesar salad']","[5, 30, 30]","[2, 2, 2]",40
208,2025-05-15 23:42,"[13, 7, 15]","['Chocolate Lava Cake', 'Beef steaks with strawberry sauce', 'Chilled Raspberry Crumble']","[25, 30, 25]","[2, 3, 3]",38
209,2025-06-01 23:42,[19],['Sparkling Water'],[1],[2],10
210,2025-06-11 23:42,"[2, 13, 4, 11, 20]","['Spaghetti carbonara', 'Chocolate Lava Cake', 'Macaroni with Tomato and Chorizo', 'Sautéed spanish Sausage and Mushrooms', 'Lemon Iced Tea']","[25, 25, 25, 30, 1]","[3, 3, 2, 1, 1]",40
211,2025-06-05 23:42,"[23, 7, 12, 9, 3]","['Espresso', 'Beef steaks with strawberry sauce', 'Mediterranean Lamb Burger', 'Meatballs in Spanish Sauce', 'Caesar salad']","[5, 30, 30, 30, 30]","[2, 3, 1, 3, 1]",38
212,2025-05-19 23:42,"[6, 22]","['Seafood Soup', 'Fanta Orange']","[55, 1]","[1, 3]",60
213,2025-05-17 23:42,"[7, 4, 8, 9, 10]","['Beef steaks with strawberry sauce', 'Macaroni with Tomato and Chorizo', 'Almond chicken strips with lemon sauce', 'Meatballs in Spanish Sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[30, 25, 25, 30, 30]","[1, 2, 2, 3, 2]",36
214,2025-05-13 23:42,"[13, 8, 5, 20]","['Chocolate Lava Cake', 'Almond chicken strips with lemon sauce', 'Warm Salad with Baby Eels and King Prawns', 'Lemon Iced Tea']","[25, 25, 20, 1]","[1, 3, 2, 3]",30
215,2025-06-01 23:42,"[19, 23, 9, 10]","['Sparkling Water', 'Espresso', 'Meatballs in Spanish Sauce', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[1, 5, 30, 30]","[3, 2, 2, 3]",36
216,2025-05-30 23:42,"[18, 23]","['Layered Banana Dessert', 'Espresso']","[15, 5]","[3, 1]",19
217,2025-06-10 23:42,"[4, 17, 23, 9]","['Macaroni with Tomato and Chorizo', 'Catalan Cream', 'Espresso', 'Meatballs in Spanish Sauce']","[25, 40, 5, 30]","[2, 1, 2, 3]",46
218,2025-05-31 23:42,"[20, 8, 12, 2, 19]","['Lemon Iced Tea', 'Almond chicken strips with lemon sauce', 'Mediterranean Lamb Burger', 'Spaghetti carbonara', 'Sparkling Water']","[1, 25, 30, 25, 1]","[2, 1, 3, 3, 3]",39
219,2025-05-27 23:42,[22],['Fanta Orange'],[1],[3],4
220,2025-06-04 23:42,[12],['Mediterranean Lamb Burger'],[30],[2],33
221,2025-05-21 23:42,"[9, 17, 22, 3, 23]","['Meatballs in Spanish Sauce', 'Catalan Cream', 'Fanta Orange', 'Caesar salad', 'Espresso']","[30, 40, 1, 30, 5]","[3, 1, 3, 1, 1]",45
222,2025-05-29 23:42,"[8, 6, 16, 17]","['Almond chicken strips with lemon sauce', 'Seafood Soup', 'Fresh Fruit Dessert', 'Catalan Cream']","[25, 55, 15, 40]","[3, 3, 1, 3]",64
223,2025-06-09 23:42,"[7, 22, 13]","['Beef steaks with strawberry sauce', 'Fanta Orange', 'Chocolate Lava Cake']","[30, 1, 25]","[2, 3, 3]",36
224,2025-05-15 23:42,"[18, 7, 21, 3]","['Layered Banana Dessert', 'Beef steaks with strawberry sauce', 'Coca-Cola', 'Caesar salad']","[15, 30, 1, 30]","[3, 1, 3, 1]",40
225,2025-05-16 23:42,"[14, 17]","['Lemon Sorbet with Cava', 'Catalan Cream']","[5, 40]","[3, 3]",47
226,2025-05-19 23:42,"[13, 2, 15]","['Chocolate Lava Cake', 'Spaghetti carbonara', 'Chilled Raspberry Crumble']","[25, 25, 25]","[1, 1, 3]",32
227,2025-06-06 23:42,"[2, 7, 11]","['Spaghetti carbonara', 'Beef steaks with strawberry sauce', 'Sautéed spanish Sausage and Mushrooms']","[25, 30, 30]","[3, 1, 1]",35
228,2025-05-29 23:42,"[1, 3, 14, 10, 23]","['Risotto', 'Caesar salad', 'Lemon Sorbet with Cava', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Espresso']","[30, 30, 5, 30, 5]","[2, 2, 3, 3, 2]",33
229,2025-05-31 23:42,"[8, 23, 20, 24, 1]","['Almond chicken strips with lemon sauce', 'Espresso', 'Lemon Iced Tea', 'Coffee with Milk', 'Risotto']","[25, 5, 1, 5, 30]","[2, 2, 3, 1, 3]",34
230,2025-05-13 23:42,"[24, 4, 19]","['Coffee with Milk', 'Macaroni with Tomato and Chorizo', 'Sparkling Water']","[5, 25, 1]","[1, 1, 2]",34
231,2025-05-27 23:42,"[23, 1]","['Espresso', 'Risotto']","[5, 30]","[3, 2]",34
232,2025-05-14 23:42,"[24, 12, 5, 9]","['Coffee with Milk', 'Mediterranean Lamb Burger', 'Warm Salad with Baby Eels and King Prawns', 'Meatballs in Spanish Sauce']","[5, 30, 20, 30]","[3, 2, 2, 2]",38
233,2025-06-08 23:42,"[15, 24, 16, 11]","['Chilled Raspberry Crumble', 'Coffee with Milk', 'Fresh Fruit Dessert', 'Sautéed spanish Sausage and Mushrooms']","[25, 5, 15, 30]","[3, 2, 1, 3]",35
234,2025-05-14 23:42,"[3, 16]","['Caesar salad', 'Fresh Fruit Dessert']","[30, 15]","[2, 1]",38
235,2025-06-10 23:42,"[23, 11, 1]","['Espresso', 'Sautéed spanish Sausage and Mushrooms', 'Risotto']","[5, 30, 30]","[2, 1, 1]",39
236,2025-05-25 23:42,"[17, 12, 18, 14, 21]","['Catalan Cream', 'Mediterranean Lamb Burger', 'Layered Banana Dessert', 'Lemon Sorbet with Cava', 'Coca-Cola']","[40, 30, 15, 5, 1]","[3, 3, 1, 1, 3]",45
237,2025-05-17 23:42,"[6, 23, 21, 12]","['Seafood Soup', 'Espresso', 'Coca-Cola', 'Mediterranean Lamb Burger']","[55, 5, 1, 30]","[3, 1, 1, 3]",61
238,2025-06-01 23:42,[18],['Layered Banana Dessert'],[15],[3],20
239,2025-05-27 23:42,"[22, 16]","['Fanta Orange', 'Fresh Fruit Dessert']","[1, 15]","[1, 1]",21
240,2025-05-20 23:42,"[15, 10, 3, 13, 8]","['Chilled Raspberry Crumble', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Caesar salad', 'Chocolate Lava Cake', 'Almond chicken strips with lemon sauce']","[25, 30, 30, 25, 25]","[3, 3, 1, 1, 1]",39
241,2025-06-07 23:42,[1],['Risotto'],[30],[2],33
242,2025-05-13 23:42,"[21, 2]","['Coca-Cola', 'Spaghetti carbonara']","[1, 25]","[3, 2]",34
243,2025-05-30 23:42,"[8, 11, 22, 19, 12]","['Almond chicken strips with lemon sauce', 'Sautéed spanish Sausage and Mushrooms', 'Fanta Orange', 'Sparkling Water', 'Mediterranean Lamb Burger']","[25, 30, 1, 1, 30]","[1, 3, 2, 2, 3]",37
244,2025-05-20 23:42,"[9, 4]","['Meatballs in Spanish Sauce', 'Macaroni with Tomato and Chorizo']","[30, 25]","[2, 3]",39
245,2025-05-23 23:42,[10],['Beef Burger Stuffed with Jalapeños and Cheddar'],[30],[1],37
246,2025-05-18 23:42,"[16, 9]","['Fresh Fruit Dessert', 'Meatballs in Spanish Sauce']","[15, 30]","[3, 3]",34
247,2025-06-08 23:42,"[14, 4]","['Lemon Sorbet with Cava', 'Macaroni with Tomato and Chorizo']","[5, 25]","[2, 3]",35
248,2025-05-15 23:42,[12],['Mediterranean Lamb Burger'],[30],[2],39
249,2025-06-02 23:42,"[19, 11, 22, 10, 24]","['Sparkling Water', 'Sautéed spanish Sausage and Mushrooms', 'Fanta Orange', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Coffee with Milk']","[1, 30, 1, 30, 5]","[1, 2, 1, 3, 2]",40
250,2025-05-29 23:42,"[4, 9]","['Macaroni with Tomato and Chorizo', 'Meatballs in Spanish Sauce']","[25, 30]","[1, 3]",36
251,2025-05-30 23:42,"[11, 7, 12, 19]","['Sautéed spanish Sausage and Mushrooms', 'Beef steaks with strawberry sauce', 'Mediterranean Lamb Burger', 'Sparkling Water']","[30, 30, 30, 1]","[1, 1, 2, 1]",39
252,2025-05-22 23:42,"[13, 6, 23, 8, 16]","['Chocolate Lava Cake', 'Seafood Soup', 'Espresso', 'Almond chicken strips with lemon sauce', 'Fresh Fruit Dessert']","[25, 55, 5, 25, 15]","[3, 2, 3, 2, 1]",63
253,2025-06-09 23:42,[18],['Layered Banana Dessert'],[15],[2],22
254,2025-05-13 23:42,"[4, 9, 24]","['Macaroni with Tomato and Chorizo', 'Meatballs in Spanish Sauce', 'Coffee with Milk']","[25, 30, 5]","[3, 1, 1]",33
255,2025-05-21 23:42,"[12, 23, 19, 9, 11]","['Mediterranean Lamb Burger', 'Espresso', 'Sparkling Water', 'Meatballs in Spanish Sauce', 'Sautéed spanish Sausage and Mushrooms']","[30, 5, 1, 30, 30]","[2, 2, 1, 2, 1]",37
256,2025-05-31 23:42,"[2, 12, 6, 1]","['Spaghetti carbonara', 'Mediterranean Lamb Burger', 'Seafood Soup', 'Risotto']","[25, 30, 55, 30]","[1, 3, 2, 1]",61
257,2025-06-02 23:42,[19],['Sparkling Water'],[1],[2],5
258,2025-06-02 23:42,"[12, 18, 10, 24]","['Mediterranean Lamb Burger', 'Layered Banana Dessert', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Coffee with Milk']","[30, 15, 30, 5]","[3, 2, 2, 3]",40
259,2025-05-21 23:42,"[22, 10]","['Fanta Orange', 'Beef Burger Stuffed with Jalapeños and Cheddar']","[1, 30]","[2, 3]",34
260,2025-05-26 23:42,"[13, 4, 23, 6, 24]","['Chocolate Lava Cake', 'Macaroni with Tomato and Chorizo', 'Espresso', 'Seafood Soup', 'Coffee with Milk']","[25, 25, 5, 55, 5]","[3, 2, 3, 2, 2]",62
261,2025-06-06 23:42,"[12, 5, 16, 17, 11]","['Mediterranean Lamb Burger', 'Warm Salad with Baby Eels and King Prawns', 'Fresh Fruit Dessert', 'Catalan Cream', 'Sautéed spanish Sausage and Mushrooms']","[30, 20, 15, 40, 30]","[3, 1, 3, 2, 3]",47
262,2025-05-15 23:42,"[2, 15, 22]","['Spaghetti carbonara', 'Chilled Raspberry Crumble', 'Fanta Orange']","[25, 25, 1]","[3, 3, 1]",30
263,2025-05-25 23:42,"[11, 16, 18, 1, 6]","['Sautéed spanish Sausage and Mushrooms', 'Fresh Fruit Dessert', 'Layered Banana Dessert', 'Risotto', 'Seafood Soup']","[30, 15, 15, 30, 55]","[2, 3, 3, 2, 3]",60
264,2025-05-21 23:42,"[15, 21, 6, 5, 20]","['Chilled Raspberry Crumble', 'Coca-Cola', 'Seafood Soup', 'Warm Salad with Baby Eels and King Prawns', 'Lemon Iced Tea']","[25, 1, 55, 20, 1]","[1, 2, 1, 2, 1]",58
265,2025-05-19 23:42,"[7, 18, 22]","['Beef steaks with strawberry sauce', 'Layered Banana Dessert', 'Fanta Orange']","[30, 15, 1]","[2, 3, 3]",38
266,2025-05-25 23:42,"[8, 15, 6, 21]","['Almond chicken strips with lemon sauce', 'Chilled Raspberry Crumble', 'Seafood Soup', 'Coca-Cola']","[25, 25, 55, 1]","[3, 3, 2, 3]",59
267,2025-06-08 23:42,"[8, 22, 15]","['Almond chicken strips with lemon sauce', 'Fanta Orange', 'Chilled Raspberry Crumble']","[25, 1, 25]","[1, 2, 1]",29
268,2025-06-11 23:42,"[12, 18]","['Mediterranean Lamb Burger', 'Layered Banana Dessert']","[30, 15]","[3, 1]",36
269,2025-05-16 23:42,"[6, 2, 9]","['Seafood Soup', 'Spaghetti carbonara', 'Meatballs in Spanish Sauce']","[55, 25, 30]","[3, 1, 2]",64
270,2025-06-09 23:42,"[19, 11, 17]","['Sparkling Water', 'Sautéed spanish Sausage and Mushrooms', 'Catalan Cream']","[1, 30, 40]","[3, 2, 2]",46
271,2025-05-20 23:42,"[17, 21, 18]","['Catalan Cream', 'Coca-Cola', 'Layered Banana Dessert']","[40, 1, 15]","[1, 3, 2]",43
272,2025-05-22 23:42,"[22, 19, 11]","['Fanta Orange', 'Sparkling Water', 'Sautéed spanish Sausage and Mushrooms']","[1, 1, 30]","[2, 3, 2]",36
273,2025-06-06 23:42,"[3, 9, 8, 7]","['Caesar salad', 'Meatballs in Spanish Sauce', 'Almond chicken strips with lemon sauce', 'Beef steaks with strawberry sauce']","[30, 30, 25, 30]","[2, 1, 1, 1]",38
274,2025-05-16 23:42,"[17, 10, 8, 4]","['Catalan Cream', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Almond chicken strips with lemon sauce', 'Macaroni with Tomato and Chorizo']","[40, 30, 25, 25]","[2, 2, 1, 3]",50
275,2025-05-28 23:42,"[23, 20]","['Espresso', 'Lemon Iced Tea']","[5, 1]","[3, 2]",8
276,2025-06-11 23:42,"[10, 22, 17, 23]","['Beef Burger Stuffed with Jalapeños and Cheddar', 'Fanta Orange', 'Catalan Cream', 'Espresso']","[30, 1, 40, 5]","[3, 2, 3, 3]",45
277,2025-05-25 23:42,"[1, 12, 14, 17]","['Risotto', 'Mediterranean Lamb Burger', 'Lemon Sorbet with Cava', 'Catalan Cream']","[30, 30, 5, 40]","[2, 3, 2, 2]",45
278,2025-05-27 23:42,"[20, 1, 19, 4]","['Lemon Iced Tea', 'Risotto', 'Sparkling Water', 'Macaroni with Tomato and Chorizo']","[1, 30, 1, 25]","[1, 3, 2, 3]",39
279,2025-06-11 23:42,"[6, 7, 24, 15]","['Seafood Soup', 'Beef steaks with strawberry sauce', 'Coffee with Milk', 'Chilled Raspberry Crumble']","[55, 30, 5, 25]","[3, 2, 2, 2]",60
280,2025-05-13 23:42,"[24, 14, 17, 22]","['Coffee with Milk', 'Lemon Sorbet with Cava', 'Catalan Cream', 'Fanta Orange']","[5, 5, 40, 1]","[1, 3, 1, 2]",50
281,2025-06-02 23:42,"[19, 7, 16, 15]","['Sparkling Water', 'Beef steaks with strawberry sauce', 'Fresh Fruit Dessert', 'Chilled Raspberry Crumble']","[1, 30, 15, 25]","[3, 2, 2, 1]",36
282,2025-06-10 23:42,"[18, 7, 4, 1]","['Layered Banana Dessert', 'Beef steaks with strawberry sauce', 'Macaroni with Tomato and Chorizo', 'Risotto']","[15, 30, 25, 30]","[1, 3, 1, 3]",36
283,2025-06-10 23:42,[3],['Caesar salad'],[30],[3],40
284,2025-06-11 23:42,"[15, 13, 9, 18, 21]","['Chilled Raspberry Crumble', 'Chocolate Lava Cake', 'Meatballs in Spanish Sauce', 'Layered Banana Dessert', 'Coca-Cola']","[25, 25, 30, 15, 1]","[2, 2, 2, 3, 1]",33
285,2025-06-03 23:42,"[12, 11, 2]","['Mediterranean Lamb Burger', 'Sautéed spanish Sausage and Mushrooms', 'Spaghetti carbonara']","[30, 30, 25]","[2, 3, 2]",35
286,2025-05-13 23:42,"[24, 21, 1, 9]","['Coffee with Milk', 'Coca-Cola', 'Risotto', 'Meatballs in Spanish Sauce']","[5, 1, 30, 30]","[3, 2, 2, 2]",34
287,2025-06-12 23:42,[22],['Fanta Orange'],[1],[3],11
288,2025-06-02 23:42,"[11, 17, 2, 22]","['Sautéed spanish Sausage and Mushrooms', 'Catalan Cream', 'Spaghetti carbonara', 'Fanta Orange']","[30, 40, 25, 1]","[1, 3, 1, 1]",49
289,2025-06-08 23:42,"[14, 6, 10, 23]","['Lemon Sorbet with Cava', 'Seafood Soup', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Espresso']","[5, 55, 30, 5]","[1, 2, 3, 2]",58
290,2025-05-29 23:42,"[13, 12, 18, 15]","['Chocolate Lava Cake', 'Mediterranean Lamb Burger', 'Layered Banana Dessert', 'Chilled Raspberry Crumble']","[25, 30, 15, 25]","[1, 1, 1, 1]",35
291,2025-06-06 23:42,"[9, 2, 12, 14]","['Meatballs in Spanish Sauce', 'Spaghetti carbonara', 'Mediterranean Lamb Burger', 'Lemon Sorbet with Cava']","[30, 25, 30, 5]","[3, 2, 2, 1]",35
292,2025-06-08 23:42,"[13, 15, 6]","['Chocolate Lava Cake', 'Chilled Raspberry Crumble', 'Seafood Soup']","[25, 25, 55]","[1, 2, 2]",58
293,2025-06-01 23:42,"[2, 22, 6, 11, 23]","['Spaghetti carbonara', 'Fanta Orange', 'Seafood Soup', 'Sautéed spanish Sausage and Mushrooms', 'Espresso']","[25, 1, 55, 30, 5]","[1, 3, 1, 1, 3]",65
294,2025-05-20 23:42,"[17, 14, 3]","['Catalan Cream', 'Lemon Sorbet with Cava', 'Caesar salad']","[40, 5, 30]","[3, 2, 3]",46
295,2025-05-16 23:42,[23],['Espresso'],[5],[3],10
296,2025-05-16 23:42,"[21, 1, 6]","['Coca-Cola', 'Risotto', 'Seafood Soup']","[1, 30, 55]","[2, 1, 1]",65
297,2025-05-14 23:42,[12],['Mediterranean Lamb Burger'],[30],[1],38
298,2025-06-10 23:42,"[7, 21]","['Beef steaks with strawberry sauce', 'Coca-Cola']","[30, 1]","[2, 3]",39
299,2025-05-22 23:42,[17],['Catalan Cream'],[40],[3],46
300,2025-06-04 23:42,[20],['Lemon Iced Tea'],[1],[3],9
301,2025-05-29 23:42,"[16, 1, 21, 20, 5]","['Fresh Fruit Dessert', 'Risotto', 'Coca-Cola', 'Lemon Iced Tea', 'Warm Salad with Baby Eels and King Prawns']","[15, 30, 1, 1, 20]","[1, 1, 3, 2, 3]",35
302,2025-05-18 23:42,"[24, 15, 16]","['Coffee with Milk', 'Chilled Raspberry Crumble', 'Fresh Fruit Dessert']","[5, 25, 15]","[2, 2, 3]",35
303,2025-06-08 23:42,[20],['Lemon Iced Tea'],[1],[1],5
304,2025-05-29 23:42,"[20, 14]","['Lemon Iced Tea', 'Lemon Sorbet with Cava']","[1, 5]","[1, 2]",14
305,2025-05-27 23:42,"[14, 19, 22, 24, 3]","['Lemon Sorbet with Cava', 'Sparkling Water', 'Fanta Orange', 'Coffee with Milk', 'Caesar salad']","[5, 1, 1, 5, 30]","[1, 1, 2, 3, 3]",39
306,2025-06-02 23:42,"[16, 11]","['Fresh Fruit Dessert', 'Sautéed spanish Sausage and Mushrooms']","[15, 30]","[1, 3]",39
307,2025-05-29 23:42,"[22, 10, 12, 2, 7]","['Fanta Orange', 'Beef Burger Stuffed with Jalapeños and Cheddar', 'Mediterranean Lamb Burger', 'Spaghetti carbonara', 'Beef steaks with strawberry sauce']","[1, 30, 30, 25, 30]","[1, 3, 2, 3, 2]",37
308,2025-06-07 23:42,[7],['Beef steaks with strawberry sauce'],[30],[2],39
